"","MTS-010_bin.16","MTS-001_bin.10","MTS-001_bin.11","MTS-010_bin.1","MTS-001_bin.13","MTS-010_bin.8","MTS-040_bin.3","MTS-001_bin.16","MTS-090_bin.1","MTS-001_bin.18","MTS-001_bin.19","MTS-010_bin.9","MTS-001_bin.20","MTS-001_bin.21","MTS-020_bin.6","MTS-001_bin.4","MTS-001_bin.5","MTS-001_bin.6","MTS-001_bin.7","MTS-010_bin.15","MTS-001_bin.9","MTS-010_bin.10","MTS-010_bin.11","MTS-010_bin.12","MTS-020_bin.11","MTS-010_bin.5","MTS-060_bin.2","MTS-090_bin.4","MTS-100_bin.2","MTS-090_bin.2","MTS-090_bin.7","MTS-110_bin.3"
"MTS-001",12.2868,4.6587186,4.8785887,25.68183,3.3249462,61.65484,3.03116,10.877598,0.7686323,1.4306618,0.55514413,12.661581,7.3940296,0.79257154,5.5429025,3.5386608,3.5277221,33.30847,6.267011,1.1899089,2.1551857,0.023837965,0.07573547,1.5266589,0.036852244,0.1294216,1.0608821,0,0,0,0,0.10271901
"MTS-010",4.3554616,0.55878145,23.534756,2.0352178,0.9629338,28.860548,5.456575,6.7981715,0.36961892,0.09722626,0.2484105,6.296723,0.57487386,0.38100898,1.7014871,2.627148,0.4561117,4.22252,1.130749,9.865325,0.5827115,0.8534259,1.6119663,79.85329,2.3827095,1.4098797,57.023537,0,0,0,0,0.06665167
"MTS-020",0.114216276,0.7156149,19.347456,1.6665063,2.3001263,1.0464797,42.865387,0.43570343,100.17404,0.02690755,0,0.093544275,0.08713524,0.06720088,2.1377487,3.1486595,0.3038254,0.32861644,0.6769699,2.8105512,0.23834033,0.051912382,1.1235749,15.003743,3.504427,0.18644133,50.487762,0,0,0,0,0
"MTS-024",0.043858204,0.20738497,9.421968,0.5266105,0.87701035,0.09896491,31.800205,0.11532039,158.99144,0.010532711,0,0.028385997,0.038731556,0.0198749,0.37888393,0.36613104,0.13029769,0.101347305,0.43561164,1.1246123,0.25836474,0.022450406,0.51083434,7.2799644,1.0533942,0.03773433,55.90724,0,0,0,0,0
"MTS-030",0,0.018423585,0.92798465,0.08702079,0.08301724,0.1036973,8.823971,0.025293332,283.33743,0,0,0,0,0,0.06519978,0.075887434,0.021896586,0.020084932,0.054275572,0.24147423,0.033444777,0,0.12887304,1.4259381,0.13715681,0,13.364566,0,0,0,0,0.027201645
"MTS-040",0,0,0.23795713,0.029843887,0,0.054282475,4.7116146,0,305.08258,0,0,0,0,0,0,0,0,0,0.0155242365,0.08363807,0,0,0.03851343,0.55647653,0.035824448,0,4.9948964,0,0,0,0,0
"MTS-050",0,0,0.27488124,0.03650714,0.026779491,0.0845029,13.703668,0,281.69553,0,0,0,0.01826865,0,0.02335475,0,0,0.016279016,0.020859227,0.12703693,0.012915659,0,0.08083088,0.9179397,0.03675884,0,10.186703,0,0,0,0,0
"MTS-060",0,0,0.16262971,0.03717409,0.017121436,0.12006864,15.335049,0,275.44153,0,0,0,0.015759414,0,0,0,0,0,0.012461904,0.08054384,0,0,0.050223324,0.66351473,0.033613678,0,7.245037,3.033159,0,0,0,0.02836458
"MTS-070",0,0,0.018067736,0,0,0.020568643,16.024616,0,269.25473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063723415,0,0,3.4525425,5.386626,3.211339,0.7058308,0,0.030258337
"MTS-080",0,0,0,0,0,0,9.363847,0,259.59863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039998457,0,0,3.506661,5.8207107,14.916595,4.0471096,0,0
"MTS-090",0,0,0.017171977,0,0,0,41.33807,0,161.86713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06267804,0,0,2.8680584,18.150038,18.420935,6.314964,2.3679788,0
"MTS-100",0,0,0,0,0,0,21.044136,0,216.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06217802,0,0,1.9656171,6.2612853,28.380344,5.673782,2.8685255,0.24570905
"MTS-110",0,0,0,0,0,0,6.600493,0,255.46149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069376126,0,0,1.3040899,3.768955,21.509872,6.2949543,2.3971412,3.7757497
