1	MTS-010_bin.16_rename
1	MTS-001_bin.10_rename
1	MTS-001_bin.11_rename
1	MTS-010_bin.1_rename
1	MTS-001_bin.13_rename
1	MTS-010_bin.8_rename
1	MTS-040_bin.3_rename
1	MTS-001_bin.16_rename
1	MTS-090_bin.1_rename
1	MTS-001_bin.18_rename
1	MTS-001_bin.19_rename
1	MTS-010_bin.9_rename
1	MTS-001_bin.20_rename
1	MTS-001_bin.21_rename
1	MTS-020_bin.6_rename
1	MTS-001_bin.4_rename
1	MTS-001_bin.5_rename
1	MTS-001_bin.6_rename
1	MTS-001_bin.7_rename
1	MTS-010_bin.15_rename
1	MTS-001_bin.9_rename
1	MTS-010_bin.12_rename
1	MTS-060_bin.2_rename
10	MTS-010_bin.16_rename
10	MTS-001_bin.10_rename
10	MTS-001_bin.11_rename
10	MTS-010_bin.1_rename
10	MTS-001_bin.13_rename
10	MTS-010_bin.8_rename
10	MTS-040_bin.3_rename
10	MTS-001_bin.16_rename
10	MTS-090_bin.1_rename
10	MTS-001_bin.19_rename
10	MTS-010_bin.9_rename
10	MTS-001_bin.20_rename
10	MTS-001_bin.21_rename
10	MTS-020_bin.6_rename
10	MTS-001_bin.4_rename
10	MTS-001_bin.5_rename
10	MTS-001_bin.6_rename
10	MTS-001_bin.7_rename
10	MTS-010_bin.15_rename
10	MTS-001_bin.9_rename
10	MTS-010_bin.10_rename
10	MTS-010_bin.11_rename
10	MTS-010_bin.12_rename
10	MTS-020_bin.11_rename
10	MTS-010_bin.5_rename
10	MTS-060_bin.2_rename
20	MTS-001_bin.10_rename
20	MTS-001_bin.11_rename
20	MTS-010_bin.1_rename
20	MTS-001_bin.13_rename
20	MTS-010_bin.8_rename
20	MTS-040_bin.3_rename
20	MTS-001_bin.16_rename
20	MTS-090_bin.1_rename
20	MTS-020_bin.6_rename
20	MTS-001_bin.4_rename
20	MTS-001_bin.5_rename
20	MTS-001_bin.6_rename
20	MTS-001_bin.7_rename
20	MTS-010_bin.15_rename
20	MTS-010_bin.11_rename
20	MTS-010_bin.12_rename
20	MTS-020_bin.11_rename
20	MTS-060_bin.2_rename
24	MTS-001_bin.11_rename
24	MTS-010_bin.1_rename
24	MTS-001_bin.13_rename
24	MTS-040_bin.3_rename
24	MTS-090_bin.1_rename
24	MTS-020_bin.6_rename
24	MTS-001_bin.4_rename
24	MTS-001_bin.7_rename
24	MTS-010_bin.15_rename
24	MTS-010_bin.11_rename
24	MTS-010_bin.12_rename
24	MTS-020_bin.11_rename
24	MTS-060_bin.2_rename
30	MTS-001_bin.11_rename
30	MTS-040_bin.3_rename
30	MTS-090_bin.1_rename
30	MTS-010_bin.12_rename
30	MTS-060_bin.2_rename
40	MTS-040_bin.3_rename
40	MTS-090_bin.1_rename
40	MTS-010_bin.12_rename
40	MTS-060_bin.2_rename
50	MTS-040_bin.3_rename
50	MTS-090_bin.1_rename
50	MTS-010_bin.12_rename
50	MTS-060_bin.2_rename
60	MTS-040_bin.3_rename
60	MTS-090_bin.1_rename
60	MTS-010_bin.12_rename
60	MTS-060_bin.2_rename
60	MTS-090_bin.4_rename
70	MTS-040_bin.3_rename
70	MTS-090_bin.1_rename
70	MTS-060_bin.2_rename
70	MTS-090_bin.4_rename
70	MTS-100_bin.2_rename
70	MTS-090_bin.2_rename
80	MTS-040_bin.3_rename
80	MTS-090_bin.1_rename
80	MTS-060_bin.2_rename
80	MTS-090_bin.4_rename
80	MTS-100_bin.2_rename
80	MTS-090_bin.2_rename
90	MTS-040_bin.3_rename
90	MTS-090_bin.1_rename
90	MTS-060_bin.2_rename
90	MTS-090_bin.4_rename
90	MTS-100_bin.2_rename
90	MTS-090_bin.2_rename
90	MTS-090_bin.7_rename
100	MTS-040_bin.3_rename
100	MTS-090_bin.1_rename
100	MTS-060_bin.2_rename
100	MTS-090_bin.4_rename
100	MTS-100_bin.2_rename
100	MTS-090_bin.2_rename
100	MTS-090_bin.7_rename
110	MTS-040_bin.3_rename
110	MTS-090_bin.1_rename
110	MTS-060_bin.2_rename
110	MTS-090_bin.4_rename
110	MTS-100_bin.2_rename
110	MTS-090_bin.2_rename
110	MTS-090_bin.7_rename
110	MTS-110_bin.3_rename
